cohort_month,order_month,months_since_cohort,customers,cohort_customers,retention_pct,revenue
2023-01-01,2023-01-01,0,76,76,100.0,35450.0
2023-02-01,2023-02-01,0,85,85,100.0,44060.0
2023-03-01,2023-03-01,0,73,73,100.0,28990.0
2023-04-01,2023-04-01,0,86,86,100.0,33870.0
2023-05-01,2023-05-01,0,105,105,100.0,53150.0
2023-06-01,2023-06-01,0,77,77,100.0,36715.0
2023-07-01,2023-07-01,0,72,72,100.0,35465.0
2023-08-01,2023-08-01,0,94,94,100.0,36960.0
2023-09-01,2023-09-01,0,65,65,100.0,23620.0
2023-10-01,2023-10-01,0,96,96,100.0,46580.0
2023-11-01,2023-11-01,0,78,78,100.0,34920.0
2023-12-01,2023-12-01,0,91,91,100.0,44690.0
2024-01-01,2024-01-01,0,2,2,100.0,1530.0
