Customer ID,recency_days,frequency,monetary
CUST074,40,1,2000.0
CUST157,191,1,2000.0
CUST166,274,1,2000.0
CUST257,316,1,2000.0
CUST572,256,1,2000.0
CUST832,112,1,2000.0
CUST875,148,1,2000.0
CUST015,350,1,2000.0
CUST269,334,1,2000.0
CUST412,107,1,2000.0
CUST476,125,1,2000.0
CUST503,68,1,2000.0
CUST561,219,1,2000.0
CUST700,23,1,2000.0
CUST735,89,1,2000.0
CUST093,171,1,2000.0
CUST155,229,1,2000.0
CUST416,318,1,2000.0
CUST595,53,1,2000.0
CUST743,350,1,2000.0
CUST773,162,1,2000.0
CUST447,179,1,2000.0
CUST480,186,1,2000.0
CUST626,94,1,2000.0
CUST731,236,1,2000.0
CUST927,191,1,2000.0
CUST281,223,1,2000.0
CUST342,69,1,2000.0
CUST487,161,1,2000.0
CUST664,4,1,2000.0
CUST742,345,1,2000.0
CUST970,230,1,2000.0
CUST109,75,1,2000.0
CUST139,17,1,2000.0
CUST420,343,1,2000.0
CUST634,85,1,2000.0
CUST789,93,1,2000.0
CUST065,27,1,2000.0
CUST072,223,1,2000.0
CUST089,92,1,2000.0
CUST118,230,1,2000.0
CUST577,322,1,2000.0
CUST592,342,1,2000.0
CUST808,275,1,2000.0
CUST124,66,1,2000.0
CUST152,307,1,2000.0
CUST253,123,1,2000.0
CUST547,300,1,2000.0
CUST946,238,1,2000.0
CUST193,322,1,1500.0
